rank,stock_code,name,closing_price,market_cap,score,mom_20d,drawdown_from_high,volume_surprise,past_glory_1y,fallen_angel_score,vcp_score
173,207940,삼성바이오로직스,1791000,82907093241000,0.24789101817695344,0.05913660555884093,-0.09864116758933061,0.9222822106865715,1.1883259911894273,0.0,0.0
174,365340,성일하이텍,73000,893187558000,0.24589267981321042,0.705607476635514,0.0,2.204546005340247,1.4787775891341255,-0.0,0.0
175,141080,레고켐바이오,202500,7413593445000,0.24387758141316096,0.17391304347826098,-0.012195121951219523,1.8476318209055473,1.2905027932960893,0.0,0.0
176,005490,POSCO,378000,30592655856000,0.24355276787207236,0.20382165605095537,-0.03076923076923077,1.527170223288233,0.7142857142857142,0.0,0.0
177,041510,에스엠,118100,2703862889000,0.24323706493200326,-0.08378588052754077,-0.23855577047066412,1.2813593267533847,1.241329479768786,0.0,0.0
178,277810,레인보우로보틱스,695000,13482901310000,0.23602558623220568,0.44041450777202074,-0.044016506189821225,2.2441563614355,2.2097130242825607,0.0,0.0
179,373220,LG에너지솔루션,431000,100854000000000,0.23588161788621845,0.10371318822023046,-0.18216318785578745,3.459992080871615,0.981203007518797,0.0,0.0
180,096770,SK이노베이션,108200,18291511661600,0.2356258403213689,0.025592417061611306,-0.22824536376604854,2.646483866974692,0.7351485148514851,0.0,0.0
181,001040,CJ,198300,5785798703400,0.2346427826581609,0.16647058823529415,-0.048920863309352525,1.5286303705305362,1.2589382448537378,0.0,0.0
182,218410,RFHIC,44550,1180728341100,0.23384879720948842,0.3258928571428572,-0.005580357142857095,2.0904200940556414,2.7024793388429753,0.0,0.0
183,033100,제룡전기,43750,702730393750,0.23294699043369743,0.193724420190996,-0.31853582554517135,2.41029890139578,1.4272211720226844,0.4546210742657928,0.0
184,128940,한미약품,519000,6648904329000,0.2322686687594821,0.17820658342792273,-0.056363636363636394,2.724769432953162,1.5641025641025643,0.0,0.0
185,078930,GS,64100,5955875729800,0.2308149022583697,0.1761467889908257,-0.009273570324574987,1.0972228096234695,0.8645533141210375,0.0,0.0
186,059090,미코,16340,546030152520,0.23062721005010606,0.2856018882769473,-0.07264472190692395,3.402539436364288,1.1514041514041513,0.0,0.0
187,004020,현대제철,32400,4323643434000,0.23033547813922928,0.023696682464454888,-0.15734720416124837,0.9433006221150705,0.8222748815165877,0.0,0.0
188,011070,LG이노텍,257500,6094280052500,0.22886455792953372,-0.05504587155963303,-0.14023372287145242,1.5785571388964625,1.4752066115702478,0.0,0.0
189,089970,에이피티씨,29350,716483248250,0.2273994657911921,0.055755395683453335,-0.12908011869436198,1.917922988030083,3.992592592592593,0.0,0.0
190,009830,한화케미칼,28350,4873153395600,0.2261340593584005,0.029038112522685955,-0.3042944785276074,0.7665269934213159,1.2778088317495806,0.3888301721152098,0.0
191,138040,메리츠금융지주,110800,19414572448400,0.22494139563804133,0.013723696248856276,-0.15419847328244274,0.925348395161964,0.31394182547642924,0.0,0.0
192,086280,현대글로비스,240500,18037500000000,0.22181655056798213,0.3375973303670745,-0.1875,0.7647289772458994,1.8325358851674642,0.0,0.0
193,259960,크래프톤,263000,12467207553000,0.2210683604850848,0.06048387096774199,-0.3307888040712468,1.6793543604183054,0.7274725274725276,0.0,0.0
194,281820,케이씨텍,44650,923822921950,0.21828789410562813,0.1492921492921493,-0.03250270855904658,2.161147226629519,1.0330396475770924,0.0,0.0
195,064350,현대로템,223000,24338731339000,0.21805551628076805,0.2145969498910676,-0.1062124248496994,1.7071264930044723,3.6203703703703702,0.0,0.0
196,012450,한화에어로스페이스,1288000,66413660488000,0.21675118216958497,0.46697038724373585,-0.07868383404864088,0.674697168550657,2.732977303070761,0.0,0.0
197,001450,현대해상,27650,2471910000000,0.21638983071056167,-0.12082670906200321,-0.12638230647709325,1.0043090675455,0.5952620967741935,0.0,0.0
198,006360,GS건설,18950,1621769235500,0.2163771528000619,-0.04196157735085948,-0.23742454728370221,1.3273875290048085,0.6359447004608294,0.0,0.0
199,083650,비에이치아이,72700,2249656062500,0.21627059672950413,0.35130111524163565,-0.039630118890356725,0.8631344920798673,3.9574328749181404,0.0,0.0
200,437730,삼현,69700,2210017419900,0.2146703146509609,0.21217391304347832,-0.09362808842652792,0.8554477100699936,8.482120838471024,0.0,0.0
