rank,stock_code,name,closing_price,market_cap,pe,pb,roe,gpa,debt_ratio,score
208,214450,파마리서치,515000,5350668720000,41.50231206589049,7.7683744019232135,0.18717931640988764,0.3053599305157042,0.4348692637259971,0.4728877572158146
209,000250,삼천당제약,439500,10309558944000,2501.207788475998,29.04203528124197,0.011611204560872357,0.14683369609072575,0.4928870839676681,0.4725690046364496
210,090360,로보스타,89100,868725000000,49.215671125782364,9.885348123003078,-0.046600349474114046,0.04725687823241233,0.2044832569518947,0.4722888091303865
211,007390,네이처셀,24150,1556106602400,49.215671125782364,24.811079590031294,-0.0506708547482896,0.08336010931682517,0.137192762996263,0.4720443371476591
212,015760,한국전력,59400,38132666173800,5.2036345895372635,0.79856762468815,0.15346343232743465,0.05467157764859975,4.300198842629095,0.47168320610630793
213,002380,KCC,466000,4141095486000,3.277066528468531,0.5557960590726267,0.1696017014742653,0.07702717851663247,1.1758726271293167,0.47140920914648154
214,140860,파크시스템스,298500,2088448384500,72.82311854997836,9.567571646077354,0.13138096577821162,0.31098447645774885,0.4803146761521605,0.4710367269458003
215,036460,한국가스공사,39900,3683288700000,6.83248226160995,0.33026834912483505,0.04833797388403513,0.03655456663525438,3.747811863478501,0.47086878272723026
216,424870,이뮨온시아,11310,838806930390,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.47055058372606096
217,115180,큐리언트,34650,1288698191550,229.34895634694897,25.421229647853167,-0.3788124948288785,0.012739858951151265,0.13426177985975535,0.4703732345930965
218,000880,한화,113500,8507816422500,4.833382430889321,0.18468574032728807,0.038210454680141406,0.02728896802324291,5.1630990015510205,0.470232482188656
219,112610,씨에스윈드,40050,1688964690150,8.783056625500187,1.2686195370347764,0.14443941228291118,0.10174741426683116,1.5426554418835448,0.46918758370356467
220,267250,현대중공업지주,237500,18760857687500,8.329695194849343,0.6485636664575293,0.07786163254311729,0.0904667892508843,1.6633538191785902,0.4688626124147688
221,161580,필옵틱스,53200,1245026140400,49.215671125782364,5.3027800421481075,-0.09413436122391407,0.027242992130315526,0.6432874405605277,0.4684312133946238
222,034220,LG디스플레이,12130,6065000000000,9.259739902837618,0.7662444131433216,0.08275010110257075,0.08326328438683513,2.6275963715010646,0.46826670099409073
223,00680K,미래에셋대우2우B,13800,1886163051600,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.46814795993647873
224,017800,현대엘리베이,91000,3557407035000,15.027044005463699,2.5859179804150023,0.17208427548856486,0.12737985120946232,1.5667699528518173,0.46757276550652077
225,097230,한진중공업,26200,2365738012800,820.8667636363637,6.81168195424208,0.008298157820481074,0.04147671076134895,5.587939741899074,0.46752052656641674
226,098460,고영,33850,2323963456750,333.9770819940172,7.218283395457116,0.021613109954611864,0.2733716599577898,0.1932733140590428,0.4674691671689148
227,102710,이엔에프테크놀로지,54900,784402196400,17.641744728236276,1.7698120174522263,0.10031955709117452,0.16952664095996933,0.6473344502754874,0.4671200091151212
228,010130,고려아연,1801000,37592217169000,66.77687264272744,4.678335171845293,0.07005921341772813,0.07518777774044272,0.9629821478507306,0.4664597906207374
229,389650,넥스트바이오메디컬,75900,622674947400,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.46643619802553715
230,078930,GS,64100,5955875729800,7.561941323646669,0.31656703472338715,0.04186319639025259,0.12465229885911146,0.896507102071293,0.4655667856948608
231,028260,삼성물산,302000,51332916288000,21.859022770597015,1.0635278596651176,0.048653952687019886,0.07542688095552413,0.5395664849663517,0.464724413890548
232,105840,우진,26150,528169070500,47.16865834090868,2.245639076549023,0.047608712130813635,0.12461360927468419,0.1888955246793577,0.46446611209517585
233,001430,세아베스틸,68300,2449382727700,42.192320540258166,1.2609502457217519,0.02988577612171403,0.06364602278882936,1.0039755951485332,0.46446310358270987
234,417200,LS머트리얼즈,15000,1014789885000,49.215671125782364,4.944200719178082,-0.009265634641330437,0.030573213819262663,0.355274647659691,0.4640080234233795
235,082740,HSD엔진,57600,4806555379200,795.2326216459269,21.139117675265297,0.026582306987750028,0.023970803312155856,3.5309310231398707,0.4632709143696267
236,437730,삼현,69700,2210017419900,414.99506951248765,19.121121965324054,0.04607554009686536,0.06436046544395652,0.24981892472673284,0.4630085713627013
237,131970,두산테스나,68700,1327781250600,36.09934443339052,3.0337739496392992,0.08403958568381019,0.0860833885068636,0.7997643082161544,0.4630015955048895
238,252990,샘씨엔에스,9370,547096150310,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.46293974153124173
239,293490,카카오게임즈,17200,1544334869200,42.527285218564415,1.0883137426576748,-0.02283272806212381,0.11903507169756315,1.1676648834573562,0.4627584453183417
